link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
265,203,216,residential,190.17331670697965,20.0,1,1900,21.270314953725553,53133624_m,53081635_m,"LINESTRING (-122.2518037443824 37.88340744843142, -122.2514916 37.88354409999999, -122.251006 37.88358370000002, -122.2508721 37.88360589999998, -122.2507515 37.8836104, -122.2506611 37.8835975, -122.2504794 37.8835461, -122.2503759 37.8835319, -122.2502116931545 37.88342147148074)"
266,155,183,residential,246.72468436211994,20.0,1,1900,27.59541577185003,53048210,53048225_m,"LINESTRING (-122.2637836 37.89408519999999, -122.2638908 37.89412729999999, -122.265318 37.89440439999998, -122.2655058 37.894459, -122.265886 37.89430610000001)"
267,136,40,residential,105.03207999953221,20.0,1,1900,11.747523051707681,53143356,53040405,"LINESTRING (-122.2569762 37.89459480000001, -122.2573701 37.89442289999999, -122.2578037 37.89423709999999)"
268,140,61,residential,415.47287833476736,20.0,1,1900,46.46939502310873,53094210,258895327,"LINESTRING (-122.2544269 37.8855499, -122.254404 37.8855232, -122.2543972 37.88551489999998, -122.2543316 37.88543419999999, -122.2541154 37.8851743, -122.254035 37.88511830000001, -122.2538538 37.8850333, -122.2537339 37.88501249999999, -122.2534703 37.88499599999999, -122.2532913 37.88494649999998, -122.2531362 37.88485379999999, -122.2529748 37.88468149999998, -122.2528706 37.88459369999998, -122.252648 37.8844498, -122.2525279 37.88439089999999, -122.2524822 37.8843292, -122.2524836 37.8842483, -122.2525183 37.88418359999999, -122.2526079 37.88411839999998, -122.2526981 37.88408219999998, -122.2528303 37.88406869999999, -122.2531389 37.88407749999998, -122.2531927 37.8840635, -122.2532288 37.88402450000002, -122.2532364 37.8839654, -122.2532056 37.8839066)"
269,137,100,residential,129.26484158665752,20.0,1,1900,14.457884736942885,53146430,53059193,"LINESTRING (-122.2648256 37.8808088, -122.2636798 37.88095760000001)"
270,127,51,residential,448.79072277717495,20.0,1,1900,50.19589597045869,53036821,53115322,"LINESTRING (-122.2677038 37.88878939999999, -122.2677389 37.88873299999999, -122.2677769 37.8886717, -122.2678826 37.88856100000002, -122.2680016 37.8884883, -122.268153 37.88842410000001, -122.2682747 37.88831760000001, -122.268338 37.88820939999999, -122.2683647 37.88809359999998, -122.2683375 37.88797749999999, -122.2682945 37.88789019999999, -122.2682216 37.88781039999999, -122.2680377 37.8876757, -122.2679916 37.8876159, -122.2679528 37.8875529, -122.2679064 37.88740469999997, -122.2677257 37.8859917, -122.2677185 37.8859356)"
271,208,231,residential,322.09593907929604,20.0,1,1900,36.02546449820203,2507403763_m,53047455_m,"LINESTRING (-122.253908 37.8942467, -122.2538292 37.8943847, -122.2538064 37.8945086, -122.2538118 37.894626, -122.25384 37.89471279999999, -122.2539128 37.89482150000001, -122.2539727 37.89489649999998, -122.2540324 37.89495569999999, -122.254137 37.8950176, -122.2543345 37.89507979999998, -122.2545006 37.8950904, -122.2547182 37.89506469999998, -122.2550047 37.89495470000001, -122.2553717 37.89480889999999, -122.2558053156507 37.89469503051509)"
272,16,12,residential,121.57961670062929,20.0,1,1900,13.598315389115283,53130350,53062745,"LINESTRING (-122.2565712 37.88994499999999, -122.2566984 37.8899611, -122.2567448 37.88998539999999, -122.2567778 37.89004719999999, -122.2567692 37.89012170000001, -122.2565934 37.8903863, -122.2565771 37.89044179999999, -122.2565872 37.89050050000001, -122.2566308 37.89055599999999, -122.2567182 37.89062009999999)"
273,20,128,residential,127.05123460648251,20.0,1,1900,14.21029943703125,53134492,53122842,"LINESTRING (-122.273174 37.8833978, -122.273101 37.88340669999999, -122.2720474 37.88354199999999)"
274,20,0,residential,285.65134173740375,20.0,1,1900,31.9492456193034,53134492,53095436,"LINESTRING (-122.273174 37.8833978, -122.2731809 37.88346129999999, -122.2733484 37.8850022, -122.2733809 37.88510839999999, -122.2734429 37.88522179999999, -122.2735136 37.88532609999999, -122.2735517 37.88538250000001)"
275,20,10,residential,254.57998567926634,20.0,1,1900,28.474007658268903,53134492,53082198,"LINESTRING (-122.273174 37.8833978, -122.2731669 37.88333489999999, -122.2729777 37.88166919999998, -122.2729698 37.8816)"
276,120,166,residential,130.73254787021824,20.0,1,1900,14.6220432816403,53055194,53093351,"LINESTRING (-122.267495 37.87401010000002, -122.2675069 37.87410379999999, -122.2675088 37.8741191, -122.267594 37.87493380000001)"
277,150,182,residential,337.68162575821435,20.0,1,1900,37.768676796179,53056369,53075875_m,"LINESTRING (-122.2692667 37.8921564, -122.2692141 37.89212699999999, -122.2690949 37.8920734, -122.2689596 37.89203190000001, -122.2687613 37.8919902, -122.2686184 37.89194699999999, -122.2684546 37.89188250000001, -122.2682939 37.89180189999998, -122.2681531 37.89170840000001, -122.2679659 37.89154229999999, -122.2678239 37.89139299999999, -122.2677318 37.89127169999997, -122.2676378 37.89112919999999, -122.2675713 37.89100489999998, -122.2675171 37.8909298, -122.2674358 37.8908561, -122.2673548 37.8908208, -122.2673139 37.89081739999999, -122.26717631843 37.89057897412074)"
278,116,204,residential,387.47172564639,20.0,1,1900,43.337550098371786,53096106,53138890_m,"LINESTRING (-122.2698249 37.88795960000002, -122.2697727 37.88791189999999, -122.2697623 37.88790239999999, -122.2697132 37.88780699999997, -122.26968 37.88769610000001, -122.269612 37.88757369999998, -122.2694846 37.8874903, -122.2693168 37.8874288, -122.2692138 37.8873679, -122.269128 37.8872866, -122.2690302 37.88714649999997, -122.2689867 37.88702019999999, -122.2688476 37.88585659999999, -122.2692386010476 37.88563953831574)"
279,143,203,residential,414.8652116719409,20.0,1,1900,46.401429329871576,53123929,53133624_m,"LINESTRING (-122.2524391 37.88565029999999, -122.2523108 37.88567659999999, -122.2522157 37.88565940000001, -122.252132 37.8855908, -122.2521149 37.8855152, -122.2521513 37.88522309999999, -122.2521353 37.8851234, -122.2520969 37.88502309999999, -122.2520289 37.88492749999998, -122.2518336 37.88474489999999, -122.2515225 37.88458879999998, -122.2513955 37.88452749999998, -122.2512596 37.88441369999998, -122.2512068 37.88433179999998, -122.2511884 37.88422649999998, -122.2512132 37.88412590000001, -122.251252 37.8840446, -122.2513867 37.88393549999998, -122.2514268 37.88386299999998, -122.2514399 37.88379580000001, -122.2514762 37.88371709999999, -122.2515511 37.88362289999998, -122.2518037443824 37.88340744843142)"
