link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
731,256,386,residential,183.901,20.0,1,1900,20.568775147,59942347,53094210,"LINESTRING (-122.2548974 37.8845218,-122.2549345 37.8846287,-122.254993 37.884678,-122.2550764 37.8847066,-122.2552165 37.8847307,-122.2553087 37.8847667,-122.2553727 37.8848336,-122.2554023 37.8849052,-122.255397 37.8849805,-122.2553721 37.8850462,-122.2553243 37.8851029,-122.2552669 37.88514,-122.2551896 37.8851791,-122.2551428 37.8852013,-122.2550097 37.8852611,-122.2544269 37.8855499)"
732,256,127,residential,73.179,20.0,1,1900,8.184851613000001,59942347,53021348,"LINESTRING (-122.2548974 37.8845218,-122.2555249 37.8843922,-122.2557051 37.8843584)"
733,257,255,residential,71.812,20.0,1,1900,8.031956764,53138895,53138890,"LINESTRING (-122.2687567 37.8851576,-122.2687297 37.8852199,-122.2687944 37.8857271,-122.2688258 37.8857928)"
734,257,13,residential,332.348,20.0,1,1900,37.172126756000004,53138895,53082207,"LINESTRING (-122.2687567 37.8851576,-122.2687437 37.885041,-122.2687244 37.8848868,-122.2687033 37.8847078,-122.268692 37.8846144,-122.2686887 37.8845818,-122.2686468 37.8842622,-122.2686439 37.8842402,-122.2686239 37.8840535,-122.2686214 37.8840292,-122.2685256 37.8832286,-122.2684157 37.8822538,-122.2684076 37.8821815)"
735,257,21,residential,115.493,20.0,1,1900,12.917545571,53138895,239669366,"LINESTRING (-122.2687567 37.8851576,-122.2687952 37.8852186,-122.2688319 37.8855184,-122.2688698 37.885605,-122.2689473 37.8856705,-122.2690151 37.8856993,-122.269113 37.8857175,-122.2694363 37.8856871,-122.2695502 37.8857009)"
736,258,60,residential,84.204,20.0,1,1900,9.417964787999999,258895312,53133624,"LINESTRING (-122.2525031 37.8826464,-122.2523072 37.8827129,-122.2522641 37.882738,-122.2521927 37.8827796,-122.2520983 37.8828773,-122.2519368 37.8832073)"
737,258,261,residential,158.061,20.0,1,1900,17.678648667,258895312,258895327,"LINESTRING (-122.2525031 37.8826464,-122.2527062 37.8828653,-122.2527327 37.8829268,-122.2527365 37.8829804,-122.2527216 37.8831139,-122.2527422 37.8832397,-122.2528889 37.8835758,-122.2530522 37.8837615,-122.2530752 37.8837847,-122.2531478 37.8838575,-122.2532056 37.8839066)"
738,258,206,residential,155.749,20.0,1,1900,17.420058403000002,258895312,53083162,"LINESTRING (-122.2525031 37.8826464,-122.252291 37.8824049,-122.2522704 37.8823388,-122.2523007 37.8821321,-122.2523257 37.8819946,-122.2523088 37.8817807,-122.2522764 37.8815635,-122.2522403 37.8813063)"
739,259,76,residential,99.614,20.0,1,1900,11.141527058000001,53138900,53115327,"LINESTRING (-122.2682032 37.8803691,-122.2681211 37.8803791,-122.2675292 37.8804554,-122.2671663 37.8805044,-122.2670835 37.8805156)"
740,259,331,residential,93.786,20.0,1,1900,10.489682742000001,53138900,53096092,"LINESTRING (-122.2682032 37.8803691,-122.2682858 37.880358,-122.2687557 37.880295,-122.2691699 37.8802433,-122.2692581 37.880235)"
741,259,260,residential,202.281,20.0,1,1900,22.624523007000004,53138900,53138903,"LINESTRING (-122.2682032 37.8803691,-122.2681958 37.8803012,-122.26816 37.8799715,-122.2680069 37.878622,-122.2680059 37.8785568)"
742,259,13,residential,202.326,20.0,1,1900,22.629556122,53138900,53082207,"LINESTRING (-122.2682032 37.8803691,-122.2682103 37.8804341,-122.2682604 37.8808911,-122.2682836 37.8810989,-122.2684004 37.8821189,-122.2684076 37.8821815)"
